student_id,assignment1,assignment2,assignment3,assignment4,assignment5,assignment6
B73F2C11-70F0-E37D-8B10-1D20AFED50B1,92.73394641,78.43520059,81.62638529,77.2951011,67.71039782,56.00715429
98A0FAE0-A19A-13D2-4BB5-CFBFD94031D1,86.79082086,89.02112989,17.11529446,94.05161703,49.58831281,72.12903243
D0F62040-CEB0-904C-F563-2F8620916C4E,85.51254107,61.79826564,53.95555593,78.72974163,69.25522366,44.53505766
FFDF2B2C-F514-EF7F-6538-A6A53518E9DC,86.03066496,88.06188013,48.65234142,70.66940591,49.55366302,63.99298668
5ECBEEB6-F1CE-80AE-3164-E45E99473FB4,64.81380013,69.21273748,49.32622538,70.40916751,33.23659399,42.25396712
D09000A0-827B-C0FF-3433-BF8FF286E15B,71.64727753,88.72133417,71.76337447,78.30154871,57.4672948,31.40634764
3217BE3F-E4B0-C3B6-9F64-462456819CE4,87.49874382,73.17566908,51.96747504,66.68774504,45.3593488,59.76032773
F1CB5AA1-B3DE-5460-FAFF-BE951FD38B5F,80.57608998,39.97714667,50.91838181,63.70697942,85.26663288,96.67892187
C9D51293-BD58-F113-4167-A7C0BAFCB6E5,66.59556796,64.73380067,86.32415112,57.96080882,37.95584715,72.84419226
E2C617C2-4654-622C-AB50-1550C4BE42A0,59.27088239,84.08938868,70.57648014,59.87902891,62.67503532,75.56436424
ECFE7BB7-F618-A5B9-7A57-3BD2BCC0D880,45.83877956,52.23816834,67.62288476,72.25400661,33.00392128,71.75236596
B017B4A6-1F41-9D46-A040-21B0D270D4BE,76.67046937,59.5063539,55.27836988,58.30719868,69.22886415,53.19984374
F2A4439C-F8D6-D47D-D884-C62E40366413,92.295151,66.41621731,69.81757406,58.61922841,74.75907231,71.15412694
8DC055F5-4B63-6CD1-9BAD-A2D927E01CDA,79.12963212,45.96564673,42.67521785,80.74504027,45.5786681,63.5045659
35A9117B-9278-8C97-7180-DC1319117AB8,83.5528473,53.55959929,69.46333964,76.47870419,87.67780632,77.67694238
24827B50-2FC2-E4B0-E2A0-1989E17749B3,14.95960282,96.18101319,68.63948403,74.27092368,28.21353123,76.38519348
70A7A4AB-49ED-C587-D6E2-1518863B3411,42.29918923,80.81507826,40.17557765,84.54987028,30.45541624,42.40093721
D6EFCCCA-82CA-C4BE-1C3E-D0477DE28B24,53.5552266,82.79325613,71.13676448,50.07296036,62.81273355,68.95108094
15A04776-A6C6-72DC-B55F-A6A82B95E0B2,60.63809658,79.73708274,69.00880724,108.7167931,31.04670545,67.38162587
C040D322-E970-4E8F-22A6-2FFAF2D74061,36.38357461,40.19390375,58.91053752,65.62128881,40.55373898,71.47661043
D5E03B6F-E4AB-AD56-FCB5-12ACA02D3622,82.4783829,47.2900146,39.32378301,82.54478388,62.75679369,62.26786194
E03DE248-3570-3C31-77F7-5138764837A6,73.19858376,83.94524391,47.37938439,88.09264841,58.55886701,70.7171222
A1331E62-50B5-94FC-E0CE-3092CB3D30D9,88.90111382,79.36405116,41.73010973,54.08036032,50.80384156,66.44334473
4D914022-B7D7-52C4-A1BB-479166DB7347,99.8869954,63.88233562,64.63603025,72.45683291,57.53490935,54.50256203
FCB5854D-D84C-E8BA-4AF8-59FCF9CC69CB,88.70005546,93.29047902,54.09738222,64.09699367,99.20004991,73.1659549
